entity_name,entity,id
cryptophyceae ,1421164,31833
genus anacardium ,12759120,8191
clout ,1412759,20905
panto ,550242,2204
have a bun in the oven ,59019,40745
philaenus ,2258065,5073
ready-to-wear ,4059157,30405
vulnerability ,14543931,16112
superfamily sphecoidea ,2214972,35704
urban sprawl ,8539717,30307
long suit ,7957193,1685
seafaring ,314469,23509
hellenic republic ,8780881,30537
order cypriniformes ,1437805,38742
mount carmel ,9361816,28783
genus chiococca ,12662223,33323
twelve tribes of israel ,8372847,19981
solenogaster ,1954516,27837
monas ,13742840,12509
persuasive ,1769843,11407
protect ,1128193,25175
vena facialis ,5367341,38601
sesame family ,12874429,10991
possessive case ,6311852,31945
acadia ,8821187,28951
passenger train ,3896233,21663
gasterosteidae ,1454702,29266
casque ,2978205,13873
light-emitting diode ,3666362,31872
elephantiasis ,14367341,4909
pacific northwest ,8564739,4787
genus caltha ,11727976,17343
genus dasypus ,2454657,39650
impairment ,14548343,17187
filler ,3338009,6133
sandarac ,11643506,34724
santiago de cuba ,8750822,39652
mark antony ,10820163,31747
hanseatic league ,8304135,11464
orphan ,10384496,24680
hosepipe ,3539875,17564
great lakes ,9292751,34861
paradisaeidae ,1570969,34584
cinnabar ,14671587,32917
tientsin ,8728882,10471
broccoli ,11876803,37738
four-in-hand ,3055670,18372
unspell ,1064696,31905
nestor paz zamora commission ,8035233,35627
barge ,1950502,37163
crataegus crus-galli ,12627347,9569
fear ,7524529,16042
provenience ,8510456,36155
platoon ,8214470,38815
waco ,9146813,19358
timolol ,4438742,17733
subdivision ,8401248,17053
spheniscus ,2056873,17394
tombstone ,3455488,0
perpendicularity ,13829047,18376
pocket lighter ,3031422,31164
theological virtue ,4847991,30391
fijis ,8778597,2175
hellion ,10169419,24250
shmegegge ,6609785,18873
paganism ,6224657,10245
training college ,8285896,37457
taxonomy ,6153186,6411
marvel ,925735,886
nitrous oxide ,3826945,38886
sweet balm ,12854600,29300
portrayer ,10455619,28424
seep ,2071974,13765
nullifier ,10365984,25485
pea plant ,12560016,9758
templetonia retusa ,12572188,22559
islamic party of turkestan ,8025835,7715
cackler ,1566645,18697
want ,1825237,27313
newborn infant ,10353016,6899
privy council ,8311687,20436
lepidocybium ,2622408,3389
thrust ,103834,7884
catapultic ,2683419,948
smooth dogfish ,1492357,4589
slave-making ant ,2221820,19433
carriageway ,2969323,8235
splinter ,9442838,20400
remuneration ,1121855,543
suit ,2702830,27375
taxodium distichum ,11641963,12943
gametogenesis ,13486115,4104
vision ,5625465,1477
engine cooling system ,3103128,36741
magazine ,2973017,23337
genus athrotaxis ,11632794,12285
schooltime ,15203229,22911
supernumerary ,10676682,37789
perplex ,402539,31442
greylag goose ,1856553,13813
marsilea ,12957467,17689
woodworking plane ,3954731,7611
swayer ,10541229,17515
psychotria capensis ,12669803,4739
geomyidae ,2353529,14539
stodge ,7803895,574
deanship ,591725,6550
steamroller ,10226556,11847
adjustable wrench ,2680754,29321
straw boss ,10661732,21084
fruit tree ,12651821,29655
summer solstice ,15222012,20473
surcease ,7362075,17252
blueprint ,2856109,30940
neighbour ,10352299,23681
showpiece ,3069567,14611
order dermoptera ,2502085,32640
relegate ,739662,11696
genus acanthophis ,1750027,20188
chocolate candy ,7602454,368
stem ,2880008,36610
extensile ,944449,40379
team ,8208560,24318
mephobarbital ,3747508,24175
pinch ,842281,3955
bw defense ,967993,13118
michelangelo buonarroti ,11178161,13609
sexual urge ,7487695,39865
boldface ,6827219,8888
utilization ,947128,1885
nazify ,502085,6304
conventionalize ,527367,32641
rearmament ,1157384,4345
theme ,7029247,35221
norinyl ,3830111,28870
lighterman ,10261388,4239
explosion ,7014854,28311
throw ,1663443,17088
herd ,7994331,37389
surcharge ,1488555,3441
delphi ,8786855,35758
rigout ,4092168,24606
sign ,867231,21219
small person ,10613505,3430
titan ,9572425,567
wild wilkworm ,2302620,22428
hoof ,2153959,31993
girondist ,10131268,12981
boston tea party ,1178415,6590
trick ,2575723,10713
dissolving ,13468094,22138
queen ,4033287,20033
lake trasimenus ,1283185,18176
serum ,5403149,33480
shadowiness ,13984613,29098
french indochina ,8731953,37672
compass ,2527085,7674
lewisia ,11859981,37561
identity card ,6477371,199
tender ,7165086,22520
scrub fowl ,1801088,7684
hispaniola ,8751317,39036
range of a function ,8000304,27256
center for disease control and prevention ,8124649,29686
isole egadi ,8784905,20474
family colubridae ,1726960,5025
singing voice ,6872122,4189
terror ,7520612,3448
diffusion ,13465530,12058
genus fomes ,13053816,39584
ligament ,5295381,27927
blue ,521641,23069
acrylic ,2677028,4143
wintergreen oil ,7812913,38030
sponge ,1906749,761
acanthus ,12812235,2799
coelenterate family ,1908287,26847
department ,8548733,6083
sweet unicorn plant ,12875861,16260
heal ,81725,10691
genus alopecurus ,12107489,29119
nazi ,10350220,29388
window ,4588739,4986
usa ,9044862,14376
tragulidae ,2435689,5734
pharmacy ,3249342,22039
college ,8278324,6613
genus astacus ,1985331,23711
true flycatcher ,1555809,8498
krauthead ,9748239,13627
step ,7383823,29212
milk vetch ,12508309,30343
swiss stone pine ,11612018,37155
subclass crossopterygii ,2514988,22146
public school ,8410688,2375
nei monggol ,8729971,18175
woolgatherer ,9993901,23266
whole ,5869584,26023
northern territory ,8834916,38978
transportation ,1105259,322
virgin mary ,11161412,4254
return ,328015,22686
recorder ,10511960,19902
prolapse ,1833906,37254
evangelist ,10067305,479
cellar ,2800497,33104
williams ,11390364,1283
doubling ,803394,12723
complexifier ,9947127,30587
upper deck ,4514738,37008
belly dance ,1710190,1616
arousal ,14023997,21836
actinomycete ,1375204,14241
fibre optic cable ,3331599,13782
temporal relation ,13844690,36088
hoot ,1053221,31512
lemon extract ,7828275,24445
affirmative ,7203696,23801
family diomedeidae ,2058074,22005
workhouse ,4601159,14703
conspiracy ,8251303,22379
pernis ,1608086,24177
megalobatrachus ,1633578,8024
body odour ,4980920,29258
ancient greek ,6977434,21493
sweetheart ,10613996,11761
title of respect ,6339416,27203
supporters of islam ,8015321,28134
wassail ,7931280,30362
native sulphur ,14785325,7720
obligingness ,4641153,15433
rolling wave ,7349532,25453
aperture ,9201031,5141
mugwump ,10337488,23912
vietnamese ,9747191,19877
church service ,1032368,9215
rusher ,10543795,32037
jacobite ,10218989,12873
heilong jiang ,9196103,16780
river lethe ,9338453,14835
riding habit ,3474167,10860
savagery ,5038251,31964
genus catha ,11598100,981
shrink from ,2463704,2474
presentation ,6891022,17055
pocketbook ,3973170,26325
white alder ,12250180,27959
race ,7967982,22796
gamete ,5456945,28452
genus nierembergia ,12908432,33243
solomon's-seal ,12474167,12972
sacramento mountains ,9418484,35021
solvent ,6743506,7807
king of the germans ,10234867,29065
push-button radio ,4027367,13553
raspberry bush ,12655869,38743
nonviolent ,2512922,8197
entrepreneur ,10060352,28822
pilgrimage ,311687,18018
genus rhinoceros ,2392282,20169
restoration ,14424517,7967
user ,10741590,23010
epacris ,12253229,408
dictate ,6663940,1348
family certhiidae ,1589125,23864
periodontitis ,14080622,14999
pit ,9393108,16448
ward ,11374281,11026
eliminator ,9272468,28494
mayetiola ,2189535,31902
stock market index ,6641924,33203
hernaria ,11810559,17139
saxifraga ,12792638,30681
bird genus ,1507175,4402
length ,5129565,12261
republic of ghana ,8946187,36607
enucleate ,176756,8878
single ,132601,8752
chain ,8057816,35202
inheritor ,10168584,8897
central bank ,8349916,29355
smell ,5658603,13091
marten cat ,2450034,22047
oat ,12109827,12539
sphenisciform seabird ,2055658,13957
salmonidae ,2534352,11255
rondel ,6380879,11245
variate ,5864177,4475
explication ,6743362,37454
underplay ,1751389,38409
speakership ,604424,36905
be ,2655135,29754
supernatural being ,9504135,30866
ascii character ,6820425,6904
culpable negligence ,740342,31321
schoolman ,9759311,24186
shtup ,846021,18712
democratic and popular republic of algeria ,8705397,35127
sophisticate ,10625285,26037
attention ,5650579,34420
panel ,625963,27539
megalonychidae ,2457586,30586
deaden ,390560,22064
genus arctocebus ,2499434,17355
wild plum tree ,12638556,26385
connoisseur ,9956387,10660
satsuma tree ,12710577,1557
pitymys pinetorum ,2340930,15531
upheave ,1456088,13160
bracing ,2886599,12770
yarn ,7220773,30755
modifier ,9609871,22598
unloosen ,2421374,5029
aster ,11931918,28150
detain ,2495038,7318
headship ,593219,17877
sleeping ,5681117,3789
discard ,9267490,35231
pecuniary resource ,13356112,3349
odessa ,9017005,27304
inkblot ,4695102,29789
courageous ,262792,24094
illegitimate ,1407465,22718
voting ,183505,19653
plaiter ,10438042,6895
somersault ,1867697,34266
ardent spirits ,7902336,1389
width ,5136150,232
small letter ,6824757,32576
urinalysis ,646332,26921
symphytum ,12822650,28374
inflame ,63557,14230
resister ,9773245,20364
leg ,5560787,35648
plant family ,11744583,32401
promulgation ,1266491,11244
scale ,1744082,374
rhodophyceae ,1413744,12481
yeats ,11402463,18317
second-rater ,10569179,4951
pass ,7341860,16878
affiant ,9776261,39494
warm up ,100905,37361
stake ,7257815,7586
genus conyza ,11956208,16742
genus disa ,12059479,14889
order oleales ,12300441,5281
smash ,7410207,10682
wadding ,14976448,39551
dyke ,3160309,40197
credit ,6346681,29030
tax write-off ,13329047,40620
lemon lily ,12457091,33249
stretch ,4336645,3995
face mask ,3314378,871
upupa epops ,1830042,24349
stress ,1013367,21989
abort ,60063,27546
medical ,2607455,15755
mammary gland ,5554189,3012
misstatement ,6768735,9188
posse comitatus ,8405490,1005
st. nick ,10550673,33921
genus alces ,2432867,23452
procyon ,2507863,39923
tineidae ,2291391,26567
scooter ,3556811,18616
istiophoridae ,2630052,35557
entozoon ,1385017,30917
tights ,4434932,31508
topcoat ,3456665,31906
berkeley ,9062585,1216
bureaucrat ,9880427,10313
snake's head fritillary ,12453186,25231
scorpion ,9753204,18288
tone ,4987620,29111
fix ,407458,3108
gusher ,3471030,25605
frame up ,1655763,14134
flying dutchman ,9547353,39293
suburban ,2804590,19945
subscribe ,2299269,35636
genus eriobotrya ,12629523,22201
track down ,1143838,22224
hub of the universe ,9095751,5336
blogger ,9860415,25417
gonion ,5233100,2013
unveiling ,238022,15560
mates ,7988857,17050
hedeoma ,12847749,17123
catalogue ,652622,25935
season ,15239292,22730
professional person ,10480253,2654
family anomiidae ,1962223,26820
premiere ,6893285,23078
propeller plane ,4012084,35515
twinge ,5725269,15708
rosales ,12618942,14224
autonomic nervous system ,5504532,34551
spaniel ,2101108,32165
ill temper ,7518132,15651
review ,6469377,6561
stink up ,2126022,34968
warszawa ,8983105,28451
steward ,9984298,4398
agent ,9777353,39648
subclass euryalida ,2317983,18880
governador valadares ,8855763,38029
european nightjar ,1835769,14584
genus coriandrum ,12936333,8810
abstinence ,1068773,4817
polygonales ,12600417,38922
stranger ,10661216,25409
semitic deity ,9513902,25036
garden ,3417345,26211
sir david bruce ,10867708,18704
spool ,2860415,23592
remember ,611481,39097
filter-tipped cigarette ,3340463,24507
huddle together ,2027226,9402
squatinidae ,1495192,35181
superposition ,1053067,3358
blade ,2848216,23629
filtrate ,14868564,4516
shore station ,3812119,14086
verity ,13956488,2980
wear ,52374,19522
visitor ,10757193,27549
think of ,730052,38406
step ,490722,4693
tar heel state ,9126305,18494
ouster ,10386071,35971
vestment ,4532106,15467
pork ,7668702,24657
solid food ,7555863,40757
scorecard ,6507941,2635
president ford ,10974740,40330
tail ,4316646,18806
rico act ,6533039,18475
card ,2962545,37994
report ,967098,24473
imprudent ,1899360,20592
stud ,1358023,30107
upper ,2704153,22642
touch ,1207527,21716
gymnosophy ,5962414,15201
version ,5928513,25466
chyle ,5403849,23270
tooth root ,5308310,19629
keen ,7042735,13005
spring ,9443453,27371
roll up ,435853,19481
middle age ,15153472,34697
mongolic language ,6928839,38841
overlapping ,3561657,19164
paris ,8932568,39627
spit ,4280970,919
deflation ,13499165,20458
travelling bag ,2773838,18815
masher ,3724417,35454
relaxation ,355691,27469
kurdistan ,9038990,10521
cultivation ,13454318,9550
chlortetracycline ,3023415,21553
convert ,9962414,31331
look ,2130524,17561
ypres ,1300508,21347
division ,8221348,20330
recognize ,892467,780
axiomatic ,2653651,34311
rattail fish ,2525703,17124
hahnium ,14636523,38210
weald ,8645212,9425
coat of arms ,3058726,25719
tabulator ,3116767,38511
hemstitch ,1331518,14391
relate ,2724417,4734
pathology ,6060845,40941
us mint ,4510456,9881
put on ,1363648,37897
sugarcane ,12132502,25524
stone ,4326084,26097
stalls ,4294879,9545
oblige ,885217,23520
typify ,2699141,3766
tv reporter ,10698368,36602
adagio ,7047804,24699
trade ,8436562,23248
catalogue ,6416206,4864
kyushu ,8921392,28085
tiffin ,7575076,27499
scale ,6856568,19233
dough ,7860988,37953
coral ,1915811,25826
disposition ,43609,3485
wee small voice ,9184405,1193
friar preacher ,10778345,37413
psittacula ,1822164,5190
popular front for the liberation of palestine ,8038379,39161
atomic number 33 ,14629149,10003
anglicize ,300317,15326
cherry tree ,12641413,35605
republic of cote d'ivoire ,8736517,21428
equal ,2664769,30292
weigh ,2645839,5875
nurture ,908351,16913
magnoliopsid genus ,11567411,33683
tyre ,8958334,37645
kislev ,15214840,23052
soliloquy ,7011529,2255
sublime ,365810,23123
beta vulgaris rubra ,11832480,14071
negociate ,762478,4115
midpoint ,8521816,13072
patrial ,10406072,21936
tenner ,13395407,37538
treater ,10351874,32370
compact disk ,3079230,11092
residence ,8558963,8325
cultivate ,1742726,30369
perfumery ,3916470,39813
mytilus edulis ,1964271,12408
touch ,4931428,29248
krigia ,11985739,14725
jab ,135311,38559
concurrent negligence ,739850,31325
logical relation ,13783038,40062
young bird ,1613615,12541
culture ,8287844,2368
mashed potato ,7711569,23575
pisces the fishes ,8688076,39579
pride ,7531536,38792
inclining ,335384,108
snitcher ,10616204,13432
genus cyathea ,13187167,24702
spoiling ,1263018,11564
spread ,1378556,6059
total darkness ,13983807,6547
breakableness ,4939324,20907
marlberry ,12097556,8471
understanding ,5651680,8802
propose ,706243,7511
quince ,7769584,34682
interfere ,2451912,1806
lymphopathia venereum ,14137561,9204
burke ,462894,3119
inundation ,11454591,5499
president of the united states ,597265,2628
sonnet ,1703613,25809
family dipsacaceae ,12682054,35978
algae ,1397114,289
origination ,7323922,18623
wheeling ,9157021,27103
tippler ,10712690,38366
ritz ,11263558,20505
sights ,4216963,26347
phytolacca ,11855122,35593
ornamentation ,3169390,9273
nitrofurantoin ,3826443,2397
swing ,541178,18705
midstream ,9354511,2853
interlaken ,9032843,12486
ip ,6142118,33758
san juan ,8753294,3572
take a breath ,1740,24532
rhynchocephalia ,1672950,34815
holocentrus ,1450453,12619
genus ageratina ,11917633,20025
habituate ,273445,4271
basin ,9215437,9966
outroar ,1105296,18609
worry ,2678438,18041
fairy light ,3318294,29854
yellow man ,9643545,7635
little office ,1033903,30067
ulmus carpinifolia ,12406715,29162
red gram ,12510774,6620
hallucination ,5896733,33161
boot ,2873244,592
scrubbird ,1546039,14254
youth ,7944050,15204
vassalage ,13998263,1054
vanderbilt ,11359187,2148
paratroops ,8390374,26584
creek ,9229409,3176
sivaism ,8097072,11301
sloping trough ,3029603,10920
liana ,13120211,33420
roundhead ,10540656,24564
inventiveness ,5633672,12542
go down ,1970826,3051
quarter mile ,13651931,30494
tusk ,1445027,39162
agreement ,13971065,26771
perch ,2555863,4072
tapster ,10691764,3378
nighttime ,15167027,36114
wiper blade ,4590746,35933
chessman ,3014440,40747
melastoma ,12349091,7485
fatness ,4999401,24561
charleston ,9138538,20376
western narrow-mouthed toad ,1653026,18308
family atrichornithidae ,1545752,11639
sentimentalism ,6775812,35730
roget ,11269085,18019
genus glossina ,2191131,19768
military leader ,10316862,5380
vouch ,1015104,20940
cashier ,9899289,12023
depression ,112674,15853
strangler tree ,13123431,478
turning ,7351612,2974
st. denis ,11313911,18354
republic of guatemala ,8737041,11117
typographer ,9949946,9384
goddess ,9535622,29987
quislingism ,1205341,28063
vulgarism ,7124340,14878
loop ,3132438,25651
sink ,13555915,21463
gnaw ,1445597,18587
house of correction ,3545961,19747
travel ,1846916,2998
mutational ,2987177,12246
hoot ,7122555,11507
sequence ,8459252,6591
presidents' day ,15187619,29350
celery pine ,11649878,24873
rail ,2330407,38771
vaccaria pyramidata ,11818636,30994
certhia americana ,1589718,29083
curtsy ,899352,16271
spritz ,7446599,8066
twaddler ,10733999,2521
genus arilus ,2244670,29616
simnel ,7631672,18792
clever dick ,9928845,26577
deprive ,2313250,15977
instilment ,321731,40843
vaccinium vitis-idaea ,12249542,17610
medical instrument ,3739693,4515
misspeak ,951601,852
enrollee ,10059162,33686
walk on air ,1813668,31750
bid price ,13304186,32164
genus bison ,2410313,16625
hydrodamalis ,2074542,30018
carry ,1203074,6697
saint ,10547145,5726
patronage ,6719404,17147
tobacconist shop ,4443257,27719
genus delonix ,12494629,915
deride ,852922,25301
confident ,338817,22276
woman's doctor ,10154013,30131
thomas the doubting apostle ,11338796,38563
rhombencephalon ,5500594,35977
flip side ,13855828,38904
reciprocate ,2372326,29216
uneasiness ,7525057,40504
petrel ,2059162,25059
toulon ,8937995,8612
shaving soap ,4186051,16595
grip ,5194874,2783
judgment on the merits ,1190364,19675
turndown ,205349,5491
variability ,4771890,29741
propionic acid ,14862753,18283
white-heart hickory ,12322099,30685
emperor ,10053004,2868
sedimentary rock ,14698000,28719
neon ,14646152,28680
ursus horribilis ,2132580,39327
compass plant ,11915658,32600
sensitivity ,4842993,33926
drunken reveller ,10526300,23015
lepisosteus osseus ,2641379,16517
marketing ,1112420,27864
niagara river ,9370552,36813
scab ,5264247,33067
catholic church ,8083320,7852
family cimicidae ,2240223,21535
sag down ,1985757,17239
nantes ,8937109,22947
showman ,10594043,30650
chickadee ,1592084,33481
warhorse ,2378415,29005
power ,10461424,31976
prospero lambertini ,10844031,34599
woman-worship ,1045306,32144
flash camera ,3358726,15617
screen ,1460785,39756
generousness ,4831727,34388
sao bernardo do campo ,8856793,17372
waver ,1901289,1693
blackberry ,7744811,7163
presentation ,3210940,12133
lathyrus ,12538603,1800
push button ,4027023,17177
club member ,10308394,6845
twenty-two ,4502851,40179
screen font ,6827679,25508
capsule ,2957586,29293
airliner ,2690373,24664
soft-finned fish ,1428580,7205
hypochoeris ,11983910,8194
sunshine ,4630689,2450
cadetship ,589596,14903
sheet music ,6816106,15735
pugilism ,445802,1782
setubal ,8986526,2396
galilean satellite ,9285979,28301
thatch ,11334003,10636
whistler ,1556514,8984
individuation ,4763293,20185
pedilanthus ,12927921,23595
family caesalpiniaceae ,12487394,21787
lindera ,11705921,1233
gymnastic apparatus ,3472232,4843
watershed ,8679369,25092
hiroshima ,8925287,4583
polish ,4955160,36433
stockbroker belt ,8555333,19764
scollop ,145299,26763
dissolution ,216038,20202
parachuting ,303849,36262
shark repellent ,175605,15931
swan river everlasting ,12007766,16399
dolphin ,2068974,31254
objective lens ,3838298,22338
sidekick ,9877951,5525
loll ,2717701,8598
international intelligence agency ,8342039,17940
sl ,8044676,4786
snapshot ,4248607,9155
fish family ,1429349,27235
close-order drill ,896526,5388
genus macrotus ,2142295,5506
shawnee cake ,7689217,37517
gill bar ,2511303,7809
cure ,527572,18056
professionalize ,583523,22235
dilation ,365995,37431
kinosternidae ,1666802,38251
belt ,2827883,14467
ruth ,7553964,25095
libido ,7489548,18021
green pea ,7725531,24827
oviedo ,9026780,30869
wytensin ,3464266,12084
gallows ,3412906,2015
supplying ,1057200,17632
willfulness ,4908396,14737
ramie ,12393269,26841
shellflower ,12357485,1540
king of great britain ,10233445,25346
virginian sumac ,12764202,14018
sashay ,541035,32345
extravasate ,307568,29557
indian chieftain ,10203298,7304
trollop ,9772930,4061
quantize ,673095,19898
schoolteacher ,10560352,23213
asparagus ,7719213,38644
seriphidium ,12013811,28563
remaking ,4074329,31858
majority rule ,5964445,9736
bethink ,683127,19927
genus buteo ,1607103,35121
pry ,1630903,20225
greenland whale ,2064000,771
stratified sample ,6027051,18448
wallpaperer ,10765189,5513
recuperate ,92690,966
treason ,749767,13854
toss ,1890792,6699
trilateral ,13879320,10145
schefflera ,11800359,28047
escort ,10063461,12661
label ,7202579,8326
vicia faba ,12576029,31259
vulgarian ,10761693,6671
plantae ,11529603,18264
quercus stellata ,12278371,37107
reassure ,1766407,7411
tribe ,8108784,36437
name dropper ,10344656,34225
dedication ,6684383,10914
hypermarket ,3555426,20280
nudnik ,10365846,28166
run down ,2004227,3147
cowgirl ,9973422,30096
reel ,1523105,1121
oblige ,885925,3405
nyse ,3822951,34042
history ,15121406,25375
xmas ,15196186,23317
office furniture ,3842156,7271
federation ,1153305,21790
steamer clam ,7787429,4685
steerer ,9995573,34079
coming attraction ,6615927,23113
craving ,7485475,4050
expire ,4227,10501
voter ,10760340,25881
subsidence ,7419960,30981
word ,7140659,10956
fluster ,1791973,4630
bull's eye ,8517449,18242
precipitate ,474994,1517
lorenzo ganganelli ,10901589,32968
womanizer ,10789118,412
miltonia ,12073410,1143
outlawry ,4811126,31513
tyrant flycatcher ,1547832,11791
genus baphia ,12508936,30949
laziness ,4637108,1526
buoy ,7266178,12180
snorkel breather ,4250850,33832
anion ,9197815,18662
family elaeocarpaceae ,12192373,3086
scorer ,10562391,16414
register ,13412321,929
overtake ,1155090,14934
soleidae ,2663657,2527
mailer ,7249336,7590
gigabyte ,13628761,4213
white lung ,14055052,34919
strength ,5034225,7153
twine ,1518047,1581
web browser ,6571301,778
hellebore ,11733904,13792
softness ,4704346,6242
orthodox sleep ,14025478,29067
breaking away ,385266,13570
indicator ,3568117,15151
statistician ,10652954,23282
take over ,2301825,2503
genus claytonia ,11859024,19688
congenital afibrinogenemia ,14171492,19304
masquerade ball ,7449157,33355
modigliani ,11183955,22032
central african republic ,8718577,27852
os tarsi fibulare ,5274808,13224
quest ,2002591,32761
family amphisbaenidae ,1682920,38308
stinkiness ,4980656,35613
theory ,5952979,34194
propagate ,1436139,15190
brownsville ,9143321,14118
geum ,12631224,18964
natural virtue ,4847733,13539
wrecker ,10544748,6625
sentience ,5677952,33933
family caviidae ,2364221,29076
second sacker ,10568200,25980
holly ,11056654,31085
casket ,1599539,28474
prosom ,3298211,18014
moshav ,8226838,16539
bend sinister ,6795290,40432
vaporize ,442267,29645
family chaetodontidae ,2605139,5313
variant ,7366627,972
tease apart ,1463792,664
resistance ,202284,6160
kobe ,8924913,36588
egis ,2895154,26848
zone ,5611062,3219
isometry ,13786187,7005
surmise ,6782680,1484
scholarship ,13266170,17854
statute book ,6536227,36981
trip-up ,76563,17265
verge ,13903738,37174
lucania ,8804487,33509
tone ending ,210940,36290
salvation ,96513,25124
servitor ,10583250,13495
reader ,10252354,26254
vibration ,345926,15822
beef cattle ,2404186,15263
machaeranthera ,11993007,33516
yellow spot ,5455690,34145
genus staphylococcus ,1379252,11238
state ,24720,24956
superclass chelicerata ,1768402,14560
moderate breeze ,11432758,4682
tibetan buddhism ,6241825,14460
academy ,8277805,27703
end ,8565894,17973
tackle ,1150164,1829
genus enhydra ,2445276,7921
genevan ,9889346,29536
old ,1638438,18163
squash ,7715561,13604
welcome ,900583,19628
epiphytic plant ,13122985,17845
front end ,8573472,25903
semblance ,4677952,18495
march ,282840,28307
transparent gem ,15078050,28966
zeitgeist ,14526635,39942
davallia ,13188096,8477
safflower ,11946051,37768
mimosaceae ,11753936,10752
document ,13403331,30854
tradesman ,10592152,5376
side ,5551318,28306
muscle ,2019431,34831
virus ,1328702,7467
rearguard ,8216647,30664
cox-2 inhibitor ,3124700,24931
graduate school ,8282696,20251
switch ,550117,3375
thiothixene ,4425656,25607
change of color ,273690,1971
prevarication ,4825383,22367
division archaebacteria ,1347431,18856
shear ,1320513,9127
duality ,7939880,26379
